Repository,OfficialURL,Category,PrimaryRole,Stars,Forks,LastCommit,LatestRelease,Contributors,OpenIssues,Documentation,CodeLicense,WeightLicense,CommercialUse,Attribution,OSSupport,GPURequirement,CPUSupport,Installation,Docker,API,CLI,BatchSupport,Deterministic,Input,Output,VisualQuality,CharacterConsistency,TemporalConsistency,Controllability,AutomationReadiness,IntegrationDifficulty,MaintenanceRisk,SecurityRisk,KnownLimitations,RequiredCustomWork,RecommendedRole,Fallback,Verdict
langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,A,Python agent DAG orchestration,37560,6295,2026-07,-,170,627,Excellent,MIT,n/a,Yes,None,Win/WSL2/Linux/macOS,CPU/GPU optional,Yes,pip install,No,Yes,Yes,Yes,Partial,"Script/prompt, state","State graph, event log",n/a,n/a,n/a,8,9,4,4,3,Graph state complexity,Workflow routing code,Main orchestrator,Custom Python,Selected
open-multi-agent/open-multi-agent,https://github.com/open-multi-agent/open-multi-agent,A,Dynamic TypeScript agent orchestration,6616,2415,2026-03,-,1,8,Moderate,MIT,n/a,Yes,None,Win/WSL2/Linux/macOS,CPU/GPU optional,Yes,npm/pnpm,No,Yes,Yes,Yes,Runtime planner,Goal description,Executed DAG,n/a,n/a,n/a,7,8,6,5,4,Dynamic graphs harder to debug,Custom planner,Alternative orchestrator,langgraph,Candidate
autonomic-ai-dev/agent-spine,https://github.com/autonomic-ai-dev/agent-spine,A,Rust deterministic YAML workflow engine,0,0,2026-07,v0.19.0,1,0,Moderate,NOASSERTION,n/a,Verify,None,Win/WSL2/Linux/macOS,CPU,Yes,Rust toolchain,No,No,Yes,Yes,Yes,YAML DAG,Snapshot/result,n/a,n/a,n/a,6,8,5,7,4,"Immature, single contributor",Rust adapter,High-stability alternative,langgraph,Candidate
kuro6061/nexum,https://github.com/kuro6061/nexum,A,Durable LLM execution engine,0,0,2026-02,v0.2.0,1,0,Moderate,MIT,n/a,Yes,None,Win/WSL2/Linux/macOS,CPU,Yes,Rust/Node,No,Yes,Yes,Yes,Yes,TypeScript workflow,Result + resume,n/a,n/a,n/a,6,8,5,6,4,Early stage,TypeScript workflow builder,Resume engine,Temporal,Candidate
vitco/OpenMontage,https://github.com/vitco/OpenMontage,A,Agentic video production system,0,0,2026-07,-,30,0,Moderate,AGPL-3.0,n/a,Yes (copyleft),Source,Win/WSL2/Linux/macOS,CPU/GPU optional,Yes,npm/pnpm,No,Yes,Yes,Yes,Partial,"Text prompt, references",Final video + report,n/a,n/a,n/a,8,9,6,5,5,AGPL copyleft; 400 skills immature,Skills adapter,Reference architecture,OpenMontage,Audited
poseljacob/agentic-video-editor,https://github.com/poseljacob/agentic-video-editor,A,Agentic video editor (Gemini + FFmpeg),460,60,2026-04,-,1,2,Moderate,MIT,n/a,Yes,None,Win/WSL2/Linux/macOS,CPU/GPU optional,Yes,npm/pip,No,No,Yes,Yes,Partial,Raw clips + brief,Edited MP4,n/a,n/a,n/a,7,8,7,5,5,Editing only; needs raw footage,Director/trim adapters,Editing reference,Custom,Candidate
MeiGen-AI/X-Cut,https://github.com/MeiGen-AI/X-Cut,A,Chat-driven video editing agent,28,2,2026-04,-,2,0,Moderate,AGPL-3.0,n/a,Yes (copyleft),Source,Win/WSL2/Linux/macOS,CPU/GPU optional,Yes,npm/pip,No,Yes,Yes,Yes,No,Chat prompt,Rendered timeline,n/a,n/a,n/a,6,7,6,5,5,AGPL; web UI immature,Remotion adapter,Chat editor reference,Custom,Candidate
showlab/Code2Video,https://github.com/showlab/Code2Video,B/C,Code-driven educational animation,0,0,2025-09,-,1,0,Moderate,MIT,n/a,Yes,None,Win/WSL2/Linux/macOS,GPU for LLM,Yes,pip,No,No,Yes,Yes,Yes,Knowledge topic,Manim code + MP4,8,5,7,9,9,7,5,5,Math/code visuals; limited character animation,Manim adapter,Educational animation fallback,Manim + custom,Audited
mateolafalce/topic2manim,https://github.com/mateolafalce/topic2manim,B/C,Topic to Manim video,32,5,2026-01,-,1,1,Moderate,MIT,n/a,Yes,None,Win/WSL2/Linux/macOS,GPU for LLM,Yes,pip,No,No,Yes,Yes,Partial,Topic text,Manim MP4,7,5,6,8,8,6,5,5,Manim focused; not cartoon characters,Rewrite for character pipeline,Math/visual fallback,Custom,Candidate
sid-thephysicskid/leap,https://github.com/sid-thephysicskid/leap,B/C,AI educational animation (Manim),64,9,2025-04,-,1,0,Moderate,Apache-2.0,n/a,Yes,None,Win/WSL2/Linux/macOS,GPU for LLM,Yes,pip/docker,Yes,No,Yes,Yes,Partial,Question/topic,Animated explanation MP4,7,5,6,8,8,6,5,5,Manim based; no character rigging,Port concepts,Animation inspiration,Custom,Candidate
